No,Judul,Genre,Penulis,Sinopsis,Tahun Terbit,Halaman,Rating,Mood Utama,Mood Pendukung1,Mood Pendukung2,Cover
11,Saman,Romance,Ayu Utami,"Empat perempuan bersahabat sejak kecil. Shakuntala si pemberontak. Cok si binal. Yasmin yang selalu ingin ideal. Dan Laila, si lugu yang sedang bimbang untuk menyerahkan keperawanannya pada lelaki beristri. Tapi diam-diam dua di antara sahabat itu menyimpan rasa kagum pada seorang pemuda dari masa silam: Saman, seorang aktivis yang menjadi buron dalam masa rezim militer Orde Baru. Kepada Yasmin, atau Lailakah, Saman akhirnya jatuh cinta?",2023,216,"3,69",Reflective,Emotional,Dark,covers/saman.jpg
12,Alster Lake,Romance,Auryn Vientania,"Cerita ini berawal dari kisah seorang perempuan bernama Alea yang meninggalkan bukunya di perpustakaan, yang kemudian seseorang menemukan buku itu. Alea menceritakan betapa sukanya ia pada karakter fiksi di buku Alster Lake karya Dean Bjorn. Namun ternyata seseorang yang mengembalikan buku itu adalah penulisnya sendiri. Memiliki ketertarikan yang sama tentang Jerman, Dean Bjorn jatuh cinta untuk pertama kalinya pada pembacanya itu. Ia menyatakan cintanya ketika mereka sedang berlibur bersama di Hamburg, di tepi Alster Lake, menggunakan surat cinta. Tentu saja Alea tidak menolak, karena dari awal ia sudah jatuh cinta pada karakter fiksi yang dibuat oleh Dean, yang ternyata karakter itu adalah dirinya sendiri. Seiring berjalannya waktu mereka menjalin hubungan, ada satu masalah yang membuat mereka tak lama kemudian mengakhiri hubungan itu. Dean yang hilang kabar karena sibuk mementingkan studinya ke Jerman, sedangkan Alea yang tidak memberinya waktu untuk menjelaskan apa yang terjadi sebenarnya. Mereka kembali menjadi dua orang asing. Tiba-tiba saat itu Alea menemukan judul buku yang tidak asing baginya, Alster Lake 2. Dimana buku itu menceritakan tentang seorang perempuan yang berarti bagi Dean. ketika membaca halaman terakhir buku itu, ia merasa buku itu tertuju pada dirinya. Dengan keberaniannya, ia berangkat ke Jerman dan mencari sosok laki-laki itu untuk menyelesaikan semuanya.",2021,320,"4,06",Emotional,Hopeful,Heartwarming,covers/alster_lake.jpg
13,Hilmy Milan,Romance,Nadia Ristivani,"Hilmy memang laki-laki yang sulit ditebak, Nggak tahu kapan dia bercanda dan kapan dia serius. Lihat aja E-mail permohonan untuk Milan menjadi pacarnya. Dengan hormat, Perkenalkan saya: Nama : Hilmy Ram Fahreza Umur : 21 Tahun Jenis Kelamin : Laki-laki Pendidikan Terakhir : Double Degree Manajemen Bisnis dan Pengelasan Dengan surat lamaran ini saya mengajukan permohonan sebagai pekerja di dalam pikiran Milan dan menjabat posisi sebagai pacar. Saya memiliki pengalaman pacaran yang tidak terlalu mumpuni, tapi bisa lah dicoba. Sebagai bahan pertimbangan, saya melampirkan beberapa berkas penting sebagai berikut: Curriculum Vitae Pas foto format .jpeg (1 file) Sertifikat tambahan Demikian surat lamaran pacaran ini saya buat. Saya berharap dapat diterima sebagai pacar pertama Ibu Milani. Hormat saya, Hilmy Ram Fahreza Ajaib. Untung ganteng anaknya. Kalau kamu jadi Milan, gimana? Terima aja nggak, sih? ",2021,280,"4,29",Happy/Funny,Heartwarming,Hopeful,covers/hilmy_milan.jpg
14,Rinduku Sederas Hujan Sore Itu,Romance,J.S. Khairen,"Hujan adalah janji setia langit kepada bumi. Tak perlu ditunggu, ia pasti datang. Kita terjebak pada hujan yang sama, tetapi tak bisa saling bicara. Membuatku terus menunggumu memutar badan dan melempar senyum kepadaku. Aneka rasa tumpah dari langit. Cemas dan rindu tak bisa kucegah. Rasa yang begitu besar, mengalahkan rasa lainnya. Jarak kita tak jauh. Namun, tak bisa bertatapan, apalagi berbicara. Rinduku sederas hujan sore itu. Menemukanmu Bukan di bias paling terang. Bukan pula di remang paling gelap. Bukan di keramaian. Bukan pula di sudut paling sunyi. Menemukanmu, tak perlu sedramatis itu. Karena engkau memang sudah disiapkan, oleh Sang Mahapasti. Menemukanmu, aku bingung. Ternyata, aku tak perlu mencarimu. Engkau sudah berdiri begitu saja, di sampingku. Untuk hadir menjaga terangnya hari. Merawat gelapnya malam. Melambaikan tangan di keramaian. Memeluk rapat di sudut kesunyian",2025,272,"4,17",Emotional,Heartwarming,Hopeful,covers/rinduku_sederas_hujan_sore_itu.jpg
15,Cinta Antara Jakarta & Kuala Lumpur,Romance,Tere Liye,"James adalah tipe cowok green flag, jomblo berkualitas tinggi. Pintar, lulusan kampus top luar negeri, punya pekerjaan dan karier yang cemerlang, tampan, baik hati. Dengan keluarga yang spesial. Masalahnya, dia pemalu, terlalu sibuk kerja, fokus pada kariernya. Jadilah dia tidak kunjung mendapat jodoh. Hingga suatu hari, dia jatuh cinta. Pada wanita yang benar-benar di luar dugaan. Dan dimulailah semua kekacauan cerita ini. “Pemilih yang baik, dia akan memilih apa yang diinginkan oleh hatinya. Pemilih yang beruntung, dia akan memilih apa yang terbaik baginya.” Akan seperti apa kisah cinta James? Dia akan memilih bagaimana?",2025,302,"3,69",Hopeful,Happy/Funny,Heartwarming,covers/cinta_antara_jakarta_dan_kuala_lumpur.jpg
16,Setelah Kita Bertemu,Romance,Pradnya Paramitha,"Gadis Paragita Rasidi sudah terbiasa menjadi yang tak diutamakan dalam keluarganya. Ia juga tak lagi sakit hati saat dibandingkan dengan kakaknya yang sempurna dan adiknya yang gemilang. Baginya, kebahagiaan keluarga adalah nomor satu dan mengalah demi keluarga adalah hal yang wajar—meski artinya, ia harus melepaskan mimpi-mimpinya. Sampai akhirnya Bhagaswara Narendra datang. Kehadirannya membangkitkan kembali hal-hal yang telah lama Gadis kubur—mimpi, keinginan, dan keyakinan bahwa dirinya juga layak dicintai. Untuk pertama kalinya setelah sekian lama, Gadis kembali menginginkan sesuatu. Masalahnya, Bhaga memiliki hubungan dengan tragedi kelam keluarga Rasidi—tragedi yang memaksa Gadis untuk menepikan mimpi-mimpinya. Gadis berada di persimpangan. Haruskah kali ini ia memilih dirinya sendiri dan menyakiti seluruh keluarganya? Atau haruskah ia mengubur keinginannya sendiri, seperti yang sudah-sudah?",2025,456,"4,22",Emotional,Reflective,Sad,covers/setelah_kita_bertemu.jpg
17,The Underling Purpose,Romance,Aranindy,"Mishmash Tower (MMT) merupakan reality show terbaru dari Soma TV, sebuah stasiun swasta nasional yang terkenal di Indonesia. MMT merupakan gabungan dari speed dating, working relationship, dan juga survival show. Dua belas pemain terpilih akan dikurung di lantai teratas sebuah gedung misterius. Mereka diharuskan bekerja berpasangan dan mencapai lantai dasar dengan menyelesaikan tantangan yang menanti mereka di setiap lantai. Berbagai cara pun akan mereka lakukan demi memenangkan permainan. Di tengah taktik, rahasia, maupun pengkhianatan—siapakah yang akhirnya berhasil menjadi sang juara? ""One of us is liar""  ""No. All of us are liars.""",2023,440,"4,38",Thrilling,Suspenseful,Dark,covers/the_underling_purpose.jpg
18,"Hello, Cello",Romance,Nadia Ristivani,"Jatuh cinta lagi?

Hmm, sepertinya itu tak ada lagi dalam kamus Helga. Kegagalannya dalam urusan cinta dan selalu disakiti oleh cowok, membuatnya sudah merasa cukup! Untuk apa mengulangi semuanya lagi dari awal?

Sebagai seorang penulis, Helga selalu mengabadikan hal yang berkesan di dalam hidupnya dalam bentuk buku. Dan di tengah proses penulisan buku keenamnya, ia malah dipertemukan dengan seorang ‘buaya’ tampan bernama Cello.

Cello yang awalnya ingin mendekati Una – yaitu seorang gadis yang populer di kampusnya, justru terjebak dan malah semakin dekat dengan Helga yang aneh dan ajaib karena sering berpikir dan bersikap terlalu random.

Namun, siapa sangka Cello malah semakin penasaran dengan gadis yang hatinya sudah membeku seperti itu? Baginya, Helga merupakan sosok yang ‘unik’ dan belum pernah ia jumpai sebelumnya. Mampukah Cello, akhirnya menaklukan hati Helga?",2023,428,"4,28",Happy/Funny,Hopeful,Heartwarming,covers/hello_cello.jpg
19,Pukul Setengah Lima,Romance,Rintik Sendu,Alina membenci hidupnya. Ia menciptakan realitas baru dengan menjelma menjadi seseorang bernama Marni ketika berkenalan dengan laki-laki yang ia temui di bus pada petang pukul setengah lima. Apakah kebohongan itu berhasil menyelamatkannya atau malah menambah kesialan dalam hidupnya? Bagaimana nasib laki-laki yang telanjur jatuh hati pada Marni itu? Apakah Alina mampu menjaga identitas rahasianya? Apakah Alina bisa menyukai hidupnya meski dalam sebuah kepalsuan yang sempurna?,2023,208,"3,71",Reflective,Emotional,Suspenseful,covers/pukul_setengah_lima.jpg
20,Semua yang Dirahasiakan Dariku (Everything We Never Said),Romance,Sloan Harlow,"Sebulan lalu, Ella menyetir dalam keadaan mabuk sehingga dia dan Hayley mengalami kecelakaan. Hayley terlempar keluar dari mobil dan kemungkinan hanyut di sungai, sementara Ella selamat tapi kehilangan ingatannya tentang kecelakaan tersebut. Bukan cuma itu, kini Ella juga tertarik dengan Sawyer, pacar Hayley. Mereka makin dekat dan tidak bisa menyangkal perasaan mereka. Rasa bersalah mencekiknya; tidak cuma membunuh sahabatnya, sekarang Ella juga mau merebut pacarnya? Kemudian, Ella menemukan buku harian Hayley yang berisi rahasia-rahasianya… juga Sawyer. Ternyata hubungan mereka tidak seindah yang selama ini Ella lihat. Ella tahu dia harus menjauh, tapi tidak mampu melakukannya. Dia terpikat sekaligus takut pada sisi-sisi Sawyer yang tidak dia ketahui. Meski begitu, rahasia yang dipegang Hayley mungkin mampu mengungkap jati diri Sawyer, juga kebenaran yang disembunyikan darinya pada malam kecelakaan itu.",2025,360,"3,85",Suspenseful,Dark,Emotional,covers/semua_yang_dirahasiakan_dariku.jpg
21,If We Make It Through December,Romance,Auryn Vientania,"Desember bagi Amai adalah waktu untuk menonton pertunjukan teater Bhanu-lelaki yang ditemuinya tiga bulan lalu, tapi rasanya sudah ia kenal sejak lama. Desember bagi Asyera adalah perenungan tentang perjalanan enam tahun bersama kekasihnya, Alga. Haruskah ia bertahan hanya karena sudah terlalu lama bersama? Desember bagi Djoeli adalah pertemuan-pertemuan dengan Khadafi dalam ruangan rapat. Mencuri pandang sambil menaruh harap di antara dua puluh lima orang lainnya. Desember bagi Keisha adalah kesempatan untuk membalik permainan dengan menyatakan cinta kepada Laskar setelah membuat laki-laki itu menunggu selama setahun. Desember bagi Alesha adalah sendiri bersama salju musim dingin di Turki, menunda pulang ke Jakarta, karena takut bertemu masa lalu. Desember adalah perhentian, tapi juga keputusan. Titik balik, juga titik Dan jikalau semua ini telah berlalu, apa yang akan terjadi pada mereka ? ",2023,274,"4,07",Reflective,Emotional,Hopeful,covers/if_we_make_it_through_december.jpg
22,MetroPop: Last Partner,Romance,Resia Rose,"Menjadi manajer marketing termuda di kantornya membuat Freya dijuluki kereta api ekspres, lady boss, bahkan monster lantaran kecepatan bekerjanya yang superkilat. Masalahnya Freya menuntut kecepatan bekerja yang sama dari para asistennya. Semua asisten Freya kabur karena tidak tahan dengan cara kerja Freya yang bagaikan tiran. Mereka tidak mengerti kenapa Freya harus selalu cepat. Mereka tidak mengerti Freya tidak bisa santai karena dia sudah terlambat. Setelah berganti-ganti asisten, akhirnya Nuno terpilih menjadi asisten Freya yang keempat. Dengan perangainya yang nyaris seperti robot tanpa emosi, dia mampu mengimbangi kecepatan kerja Freya dan menoleransi sifatnya yang tak masuk akal. Bagi Nuno, hatinya sudah mati rasa sehingga tidak ada perlakuan Freya yang bisa menyakitinya. Awalnya mereka mengira telah menemukan partner yang saling memahami. Namun, makin mereka berinteraksi, makin mereka harus mengorek luka masa lalu yang membentuk pribadi mereka sekarang. Apakah dengan saling membantu mereka bisa melanjutkan hidup tanpa membawa beban luka masa lalu?",2025,304,"3,35",Emotional,Reflective,Hopeful,covers/last_partner.jpg
23,Romantika Runika,Romance,Nureesh Vhalega,"Dia Runika, sosok yang terlihat selalu bahagia, juga anak tunggal yang dihujani cinta oleh orangtuanya. Namun, setiap hubungannya seolah dikutuk, karena hanya bertahan hingga bulan kesembilan. Ambisi terbesarnya saat ini adalah merayakan anniversary dengan pacar, setidaknya hari jadi pertama. Runika mendapat pekerjaan baru dan di hari pertama menuju kantor, dia bertemu seorang pria tampan yang meminjam kartu tol. Seolah-olah takdir, pria itu—Raiden—juga bekerja di kantor yang sama. Sayangnya, Vian yang adalah sahabat Runika sejak masa sekolah, tidak pernah bisa akur dengan Raiden. Di tengah harapannya punya pacar baru dan memiliki hubungan yang langgeng, serta kebencian Vian terhadap Raiden, Runika dihadapkan dengan suatu kenyataan yang tidak pernah dibayangkan sebelumnya, dan betapa perbedaan masa lalu begitu berdampak pada masa depan hubungannya.",2024,296,"4,06",Emotional,Hopeful,Reflective,covers/romantika_runika.jpg
24,MetroPop: The Spark Between Us,Romance,Vira Safitri,"Di puncak karier musiknya yang gemilang, Hanna Schulz tersandung skandal dengan seorang menteri muda yang telah beristri—Adrian Wiratama. Demi melindungi Adrian dan menjauh dari sorotan publik, Hanna melarikan diri ke rumah ayahnya di Jerman, berharap bisa menghilang dari dunia yang menghakiminya. Namun, di tengah pelariannya, takdir justru mempertemukannya dengan Julien Renier, seorang profesor muda, yang tanpa alasan jelas memilih untuk menolongnya. Bersama Julien, Hanna menemukan bentuk cinta yang tak pernah ia kenal sebelumnya: cinta yang lembut, memulihkan, dan mengajarkannya cara mencintai diri sendiri. Sayangnya, masa lalu Hanna masih membayangi. Ketika Hanna dan Adrian kembali dipertemukan, cinta yang baru tumbuh itu pun diuji. Saat Hanna akhirnya siap menapaki kisah baru, Julien menuntut jawaban untuk keraguannya—apakah Hanna telah benar-benar memilih, atau sekadar menjadikannya suaka untuk pulih?",2025,376,"3,88",Emotional,Reflective,Hopeful,covers/the_spark_between_us.jpg
25,"Hello (Again), Cello",Romance,Nadia Ristivani,"Jatuh cinta lagi?

Hmm, sepertinya itu tak ada lagi dalam kamus Helga. Kegagalannya dalam urusan cinta dan selalu disakiti oleh cowok, membuatnya sudah merasa cukup! Untuk apa mengulangi semuanya lagi dari awal?

Sebagai seorang penulis, Helga selalu mengabadikan hal yang berkesan di dalam hidupnya dalam bentuk buku. Dan di tengah proses penulisan buku keenamnya, ia malah dipertemukan dengan seorang ‘buaya’ tampan bernama Cello.

Cello yang awalnya ingin mendekati Una – yaitu seorang gadis yang populer di kampusnya, justru terjebak dan malah semakin dekat dengan Helga yang aneh dan ajaib karena sering berpikir dan bersikap terlalu random.

Namun, siapa sangka Cello malah semakin penasaran dengan gadis yang hatinya sudah membeku seperti itu? Baginya, Helga merupakan sosok yang ‘unik’ dan belum pernah ia jumpai sebelumnya. Mampukah Cello, akhirnya menaklukan hati Helga?",2023,250,"4,35",Happy/Funny,Heartwarming,Hopeful,covers/hello_again_cello.jpg
26,(Bukan) Pengantin Baru,Romance,YESSIE L.RISMAR,"Di awal pernikahan Kiara dan Yaris tidak pernah terusik dengan pertanyaan kapan punya anak. Namun, ibarat suara nyamuk, lama kelamaan pertanyaan itu mengganggu juga. Terlebih ketika mertua Kiara yang biasanya adem ayem mulai merengek ingin cucu dan membandingkan mereka dengan orang lain. Masalahnya, bagaimana bisa punya anak kalau berhubungan intim saja Kiara dan Yaris masih tidak bisa?",2024,192,"3,91",Happy/Funny,Hopeful,Heartwarming,covers/bukan_pengantin_baru.jpg
27,Larung,Romance,Ayu Utami,"Dikisahkan, Larung ini adalah karakter baru yang akan membantu Saman, mereka berdua kemudian berusaha untuk menyelamatkan tiga aktivis yang dikejar-kejar karena peristiwa 27 Juli 1996. Novel Larung ini didominasi oleh pergolakan politik dan kekuasaan rezim militer yang berusaha merepresentasikan kekuasaan orde baru. ",2023,304,"3,5",Dark,Reflective,Thrilling,covers/larung.jpg
28,23:59 : Sebuah Novel,Romance,Brian Khrisna,"Tidak ada yang lebih menyakitkan ketimbang hubungan yang berakhir dengan penuh tanda tanya. Ketika kamu harus dipaksa ikhlas atas perpisahan yang terjadi tanpa kamu tahu apa yang salah dari hubunganmu kemarin. Lalu, kamu akan melewati hari demi hari dengan terus menyalahkan diri sendiri. Apa kurangku? Apakah dia tidak bahagia bersamaku? Apakah aku tidak cukup untuknya? Itulah perasaan yang selama ini Ami derita. Seorang gadis cantik yang dipaksa harus merelakan hubungannya bersama Raga berakhir, tanpa ada sedikitpun penjelasan yang dia dapatkan. Trauma, depresi, kantung mata, rambut rontok, dan segala macam obat tidur harus dilaluinya pasca perpisahan terkutuk itu. Meski sulit, perjalanan penuh luka itu akhirnya membawanya ditemukan oleh seseorang yang baru. Yang lebih mencintainya. Yang tak pernah sekali pun pergi meninggalkannya. Ami perlahan mulai bisa mengikhlaskan Raga. Namun, dua hari sebelum pernikahannya, Raga-lelaki yang selama ini diam-diam masih dicintainya-tiba-tiba hadir di keadaan yang benar-benar membuat Ami merasa hampir setengah gila. Seketika itu juga, semua usaha Ami untuk akhirnya bisa ikhlas, tiba-tiba sirna begitu saja. Apakah pada akhirnya Ami berhasil menemukan jawaban atas segala pertanyaannya selama ini? Lantas, apakah Ami akan kembali bersama Raga, lelaki yang sudah melukainya teramat dalam, namun juga masih menjadi segala doa yang kerap ia layangkan dalam diam?",2023,231,"3,71",Emotional,Sad,Hopeful,covers/2359_sebuah_novel.jpg
29,Sendiri,Romance,Tere Liye,"Tidak ada yang abadi di dunia ini. Lautan bisa mengering. Gunung bisa rata. Benua terpisah, bersatu, dan terpisah lagi. Apalagi cinta pasangan manusia. Sehebat apapun cinta tersebut, pasti akan berakhir. Waktu akan menelannya. Inilah kisah tentang seorang laki-laki usia 70 tahun, yang ditinggal istrinya meninggal setelah begitu lama menikah, menghabiskan waktu bersama-sama. Saat hari itu tiba, apa yang harus dia lakukan? Bagaimana dia akan melewati sisa hidupnya? Menjalani hari demi hari? Apakah hidupnya masih seru? Apakah masih ada petualangan spesial baginya. Atau hanya tersisa. Sendiri?",2024,320,"3,81",Sad,Reflective,Hopeful,covers/sendiri.jpg
